name,price,year,total_km,location,engine_type,transmission
2014 Honda Civic IVTEC 2.0 AT,160000000,2014,201000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Mercedes Benz E-Class E 250 AVANGARDE CKD AT,445000000,2014,20000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Chevrolet Captiva DSL 2.0 LAT,150000000,2013,,,,
2013 Mercedes Benz C-Class C200,225000000,2013,64000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Otomatis
2013 Mercedes Benz C-Class C 300 AMG,319000000,2013,45000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2012 Mercedes Benz C-Class C 200 CGI CLASSIC,209000000,2012,,,,
2012 Mercedes Benz C-Class Sedan C 250 AMG,271000000,2012,90000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Honda City E 1.5L AT,251000000,2020,21000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Corolla Altis V AT,265000000,2019,60000,"Jakarta Pusat
5 Seat
1798 Cc
Panggilan Gratis",Bensin,CVT
2019 Mercedes Benz C-Class Sedan C 180 Kompressor,565000000,2019,29000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2018 Toyota Camry V 2.5L AT,277000000,2018,,,,Otomatis
2018 Mercedes Benz E-Class E 300 AMG Line,669000000,2018,31000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda City ES CVT,317000000,2017,,,,CVT
2015 Honda Accord VTI-L AT,235000000,2015,75000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Honda Accord 2.4L VTi-L,230000000,2013,40000,"Jakarta Pusat
5 Seat
2356 Cc
Panggilan Gratis",Bensin,Otomatis
2013 Mercedes Benz E-Class E 300 AMG,375000000,2013,,,,
2012 Mercedes Benz C-Class C 250 AMG AT,263000000,2012,49000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2011 Mercedes Benz C-Class C250,190000000,2011,135000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2011 Honda Civic FDI 1.8 AT,147000000,2011,,,,Otomatis
2010 Honda Civic 2.0 AT,171000000,2010,150000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2010 Mercedes Benz E-Class 300 E 3.0 MT,185000000,2010,,,,Manual
2023 Honda Civic 1.5L Turbo,500000000,2023,10146,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 Honda Accord 1.5 VTIL Turbo Sensing,485000000,2022,,,,
2022 BMW 3 Series Sedan 320i Sport,610000000,2022,17169,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Mercedes Benz E-Class E 300 AMG Line,890000000,2022,25327,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Mercedes Benz C-Class Sedan C 300 AMG Line,620000000,2019,,,,Otomatis
2018 Mercedes Benz C-Class Sedan C 300 AMG Line,485000000,2018,45983,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Mercedes Benz C-Class Sedan C 300 AMG Line,890000000,2022,,,,Otomatis
2019 Honda Civic 1.5L Turbo,330000000,2019,42018,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2012 Mercedes Benz E-Class E 250 AT CBU AMG LINE,245000000,2012,,,,Otomatis
2017 Mercedes Benz E-Class E 250 Avantgarde Line,555000000,2017,23000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2010 Mercedes Benz E-Class E 300 AMG,215000000,2010,,,,
2017 BMW 3 Series Sedan 330i Luxury,485000000,2017,53000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mercedes Benz E-Class Saloon E 300,690000000,2017,26000,"Jakarta Pusat
5 Seat
3498 Cc
Panggilan Gratis",Bensin,Otomatis
2008 Honda Civic I-VTEC 1.8L AT,130000000,2008,117208,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2011 Chevrolet Captiva DIESEL AT,120000000,2011,,,Diesel,Otomatis
2014 Mercedes Benz C-Class C200,350000000,2014,60000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Otomatis
2015 Mercedes Benz C-Class Sedan C 250 AMG,465000000,2015,34000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2019 BMW 3 Series Sedan 320i Sport,438000000,2019,34000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Mercedes Benz C-Class Sedan C180 Avantgarde Line,590000000,2019,,,,Otomatis
2015 Mercedes Benz C-Class Sedan C 200,390000000,2015,43000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2014 BMW 3 Series Sedan 320i F30 LUXURY,262000000,2014,48000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2011 Honda Accord 2.4L VTi-L,135000000,2011,128000,"Jakarta Pusat
5 Seat
2356 Cc
Panggilan Gratis",Bensin,Otomatis
2010 Mercedes Benz C-Class C 250 AMG AT,175000000,2010,,,,Otomatis
2012 Toyota Camry 2.4 V AT,129000000,2012,,,,Otomatis
2017 Honda Accord 2.4L i-VTEC AT,257000000,2017,82000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2015 Mercedes Benz E-Class Saloon E 200,238000000,2015,,,,Otomatis
2017 Honda Civic 1.5L ES,320000000,2017,47000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2010 Mercedes Benz E-Class 200 E 2.0 MT,174000000,2010,,,,Manual
2000 Honda Civic FERIO 1.6 AT,85000000,2000,173000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Mercedes Benz C-Class Sedan C 200 CGI Avantgarde,275000000,2014,52564,"Jakarta Pusat
Panggilan Gratis",Bensin,
2007 Mercedes Benz E-Class E280,145000000,2007,95000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Otomatis
1997 Mercedes Benz C-Class C230 Sport,60000000,1997,242000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Manual
2023 MG 5 GT Ignite,275000000,2023,,,,
2019 Mercedes Benz A-Class Sedan A200 Progressive Line,459000000,2019,29000,"Jakarta Pusat
5 Seat
1332 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Lexus ES 250,645000000,2019,23000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Honda Civic RS 1.5L,480000000,2023,,,,
2017 BMW 7 Series Sedan 730Li M Sport,595000000,2017,40000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2016 BMW 5 Series Sedan 520i Luxury,320000000,2016,54000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Mercedes Benz CLA-Class 200 SPORT,399000000,2016,,,,
2014 Mercedes Benz CLA-Class 200 AT,315000000,2014,62000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Lexus ES 300h,305000000,2014,145000,"Jakarta Pusat
4 Seat
2494 Cc
Panggilan Gratis",,CVT
2012 Audi A4 1.8 TFSI,189000000,2012,,,,Otomatis
2014 BMW 5 Series Sedan 528I AT,425000000,2014,51000,"Jakarta Utara
Panggilan Gratis",Bensin,Otomatis
2013 BMW 5 Series Sedan 520i AT,270000000,2013,,,,Otomatis
2024 BYD Seal Premium,460000000,2024,38000,"Jakarta Pusat
5 Seat
Panggilan Gratis",,Otomatis
2020 BMW 5 Series Sedan 520i M Sport,965000000,2020,17000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
