name,price,year,total_km,location,engine_type,transmission
2021 Honda Civic Hatchback 1.5 RS AT,410000000,2021,39761,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Suzuki Ignis GX AGS,140000000,2018,,,,Otomatis
2018 Honda Civic Hatchback E CVT,295000000,2018,50000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2010 Mazda 2 R AT,100000000,2010,,,,Otomatis
2009 Mazda 2 R AT,185000000,2009,112000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Daihatsu Sirion 1.3 RS - M 301 M 602 AT MNB CBU,110000000,2016,,,,Otomatis
2014 Mazda 2 1.5 R AT,166000000,2014,108000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2012 Nissan March 1.2L AT,95000000,2012,,,,Otomatis
2018 Suzuki Baleno AT,155000000,2018,50000,"Jakarta Pusat
5 Seat
1373 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Suzuki Swift GX AT,138000000,2014,80000,"Jakarta Pusat
5 Seat
1372 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mazda 2 R SKYACTIV AT,155000000,2017,12345,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Suzuki Baleno HB M/T,135000000,2019,,,,
2023 Wuling Air EV Long Range,145000000,2023,27000,"Jakarta Pusat
4 Seat
Panggilan Gratis",Listrik,Otomatis
2023 Wuling Air EV Pro 300,128000000,2023,,,Listrik,Otomatis
2023 Wuling Air EV Standard Range,105000000,2023,37000,"Jakarta Pusat
4 Seat
Panggilan Gratis",Listrik,Otomatis
2022 Honda City Hatchback RS CVT,258000000,2022,,,,CVT
2014 Chevrolet Aveo Lt,90000000,2014,124000,"Jakarta Pusat
5 Seat
2400 Cc
Panggilan Gratis",Bensin,Otomatis
2024 Wuling Cloud EV 460 km,315000000,2024,460,"Jakarta Pusat
5 Seat
Panggilan Gratis",Listrik,Otomatis
2020 MINI Cooper S COUPE JCW 2012,1475000000,2020,10000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2023 Mazda 3 Hatchback Skyactive-G 2.0,460000000,2023,6000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Volkswagen Scirocco 1.4 TSI,415000000,2016,44000,"Jakarta Pusat
5 Seat
1390 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Wuling Air EV Long Range,165000000,2022,,,Listrik,Otomatis
2021 Mazda 3 Hatchback Skyactive-G 2.0,459000000,2021,29000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
