name,price,year,total_km,location,engine_type,transmission
2018 Suzuki SX4 S Cross AT,175000000,2018,72222,"Jakarta Pusat
5 Seat
1491 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Nissan March 1.2 XS AT,108000000,2012,51000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mazda CX-5 Elite,295000000,2017,65185,"Jakarta Utara
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2011 Nissan Juke RX AT,115000000,2011,,,,Otomatis
2020 Honda BRV Prestige 1.5L AT,232000000,2020,,,,Otomatis
2013 Mazda CX-5 GT,163000000,2013,88000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Mazda CX-5 GT,225000000,2016,,,,Otomatis
2021 Mazda CX-5 GRAND TOURING,450000000,2021,,,,
2023 CHERY 5 RZ,295000000,2023,5000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2024 Wuling Cloud EV Lite,270000000,2024,24000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Listrik,Otomatis
2023 Honda HRV 1.5L SE CVT,322000000,2023,23000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 Kia Sonet Premiere,255000000,2022,12000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2022 Honda HRV 1.5L Turbo RS,420000000,2022,,,,
2021 Honda HRV 1.5L SE CVT,245000000,2021,46000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2024 Wuling Cloud EV Pro,263000000,2024,29000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Listrik,Otomatis
2015 Honda HRV E CVT,172000000,2015,,,,CVT
2024 Honda WR-V 1.5L RS With Honda Sensing,280000000,2024,20000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2023 Hyundai Stargazer X 1.5L IVT Prime,255000000,2023,,,,
2023 Honda WR-V 1.5L RS With Honda Sensing,270000000,2023,14000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2019 Mazda CX-3 2.0 GT,260000000,2019,78000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Honda HRV 1.5L SE CVT,240000000,2019,30000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2018 Honda HRV 1.5L SE CVT,238000000,2018,,,,CVT
2018 Mazda CX-3 Touring,243000000,2018,64000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
